Sr_No,Location_Coordinates,Location,Hospital_Name,Address_Original_First_Line,State,District,Subdistrict,Pincode,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID
23785,,"No. 1051, P.H.Road, Arumbakkam,",Indian Hospitals,"No. 1051, P.H.Road, Arumbakkam",Tamil Nadu,Chennai,0,600006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23786,,"(A Unit Of Medical Research Foundation)41/18, College Road, Nungambakkam",Sankara Nethralaya,"(A Unit Of Medical Research Foundation)41/18, College Road, Nungambakkam",Tamil Nadu,Chennai,0,600006,0,0,0,0,0,0,0,044   28254180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23787,,N0.76(Old No.143) Greams Road(OppositeBsnlteleshoppe),Sono Diagnostics,N0.76(Old No.143) Greams Road(OppositeBsnlteleshoppe),Tamil Nadu,Chennai,0,600006,0,0,0,0,0,0,0,28292368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23788,,"Rakeshdhamija M.B.B.S 1-D,Kothi Apartments, Ground Floor 14,College Road",Sri Sagara Durga Medicals,"Rakeshdhamija M.B.B.S 1-D,Kothi Apartments, Ground Floor 14,College Road",Tamil Nadu,Chennai,0,600006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23789,,"4,Ritherdon Road,Pursaivakam",C.U.Shah Clinic And Diagnostic Center,"# 4,Ritherdon Road,Pursaivakam",Tamil Nadu,Chennai,0,600007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23790,,"21.Ritherdon Road,Vepery,",Joseph Eye Clinic,"21.Ritherdon Road,Vepery",Tamil Nadu,Chennai,0,600007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23791,,"No.18, Tana Street, Purasawalkam",Narayanaa Hospital,"No.18, Tana Street, Purasawalkam",Tamil Nadu,Chennai,0,600007,0,0,0,0,0,0,0,044  26401849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23792,,"21, Ritherdon Road, Vepery",Ritherdon Nursing Home,"21, Ritherdon Road, Vepery",Tamil Nadu,Chennai,0,600007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23793,,"No:20, Thana Street, Purasaiwakkam Purasawakam",Sri Lakshmi Clinicandmaternity Center,"No:20, Thana Street, Purasaiwakkam Purasawakam",Tamil Nadu,Chennai,0,600007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23794,,"Moondrumavadi,K.Pudur, Madurai-7",St.Mary Of Leuca Hospital,"Moondrumavadi,K.Pudur, Madurai-7",Tamil Nadu,Chennai,0,600007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23795,,"230, Purswalkam High Road",The Private Hospital,"230, Purswalkam High Road",Tamil Nadu,Chennai,0,600007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23796,,"No. 562, Anna Salai Century Plaza, Opp To Ags Office.",Dr Rai Memorial Medical Center,"No. 562, Anna Salai Century Plaza, Opp To Ags Office",Tamil Nadu,Chennai,0,600008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23797,,"28,Marshalls Road Egmore,",Dr. A. Ramachandras Diabetes Hospit,"28,Marshalls Road Egmore",Tamil Nadu,Chennai,0,600008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23798,,"44, Sakthi Nagar, Adambakkam, Near Dev School",Prime Care Nursing Home,"44, Sakthi Nagar, Adambakkam , Near Dev School",Tamil Nadu,Chennai,0,600008,0,0,0,0,0,0,0,22530686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23799,,Opp Collecter Office Vellore,Siva Kumar Hospitals,Opp Collecter Office Vellore,Tamil Nadu,Chennai,0,600009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23800,,"No:7, Barnaby Road Kilpauk",Aditya Hospital,"No:7, Barnaby Road Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23801,,"20, Kellys Road Kilpauk",Akn Nursing Home,"20, Kellys Road Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23802,,"154, Poonta Nala High. Road,Kilpauk, Near, K.Mc. Hospital",Apollo First Medical Foundation,"154, Poonta Nala High. Road,Kilpauk, Near, K.Mc. Hospital",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,28237470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23803,,"91-A Millers Road, Kilpauk",Ayesha Hospital,"91-A Millers Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23804,,"91-A, Millers Road,",Babus Dialysis Centre,"91-A, Millers Road",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23805,,"55,New Avadi Road,Kilpauk,",Chennai Cancer Care,"# 55,New Avadi Road,Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23806,,"64, Medavakkam Tank Road, Kilpauk,",Chennai Heart Centre,"64, Medavakkam Tank Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23807,,"No.80, New Avadi Road,Alagappa Nagar,Opposite To Pachaiyappa's College For Men,Kilpauk,",Davita Nephrolife,"No.80, New Avadi Road,Alagappa Nagar,Opposite To Pachaiyappa's College For Men,Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,4449087275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23808,,"(Old No.19), New No.37, Millers Road, Kilpauk",Doctor Rexs Hospitals,"(Old No.19), New No.37, Millers Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
